Dataset id,SDG,pMSE,pMSE_time,Quality,Original dataset
SD1Q10_3,SD1Q10,0.17550431783763498,0.2761226000000008,Q10,D1
SD1Q10_4,SD1Q10,0.17119528174559087,0.2732089000000002,Q10,D1
SD1Q10_5,SD1Q10,0.1622644917213165,0.26975129999999936,Q10,D1
SD1Q10_6,SD1Q10,0.1733731989807575,0.26777020000000107,Q10,D1
SD1Q10_7,SD1Q10,0.17067872802658415,0.27424569999999804,Q10,D1
SD1Q10_8,SD1Q10,0.17332477566309548,0.2669235999999984,Q10,D1
SD1Q10_9,SD1Q10,0.17137787469805224,0.2520214000000003,Q10,D1
SD1Q1500_0,SD1Q1500,0.007180452645677844,0.3550445999999994,Q1500,D1
SD1Q1500_1,SD1Q1500,0.006904405207891439,0.3835590999999994,Q1500,D1
SD1Q1500_2,SD1Q1500,0.0070830659881140805,0.35782050000000254,Q1500,D1
SD1Q1500_3,SD1Q1500,0.007013691833168013,0.3551050999999994,Q1500,D1
SD1Q1500_4,SD1Q1500,0.0068317127932341045,0.3774836999999991,Q1500,D1
SD1Q1500_5,SD1Q1500,0.004932156941451094,0.35955459999999917,Q1500,D1
SD1Q1500_6,SD1Q1500,0.00921501348204866,0.3700839000000009,Q1500,D1
SD1Q1500_7,SD1Q1500,0.00875069979766963,0.37766579999999905,Q1500,D1
SD1Q1500_8,SD1Q1500,0.007952797217736412,0.34446450000000084,Q1500,D1
SD1Q1500_9,SD1Q1500,0.008234518685977734,0.34144859999999966,Q1500,D1
SD1Q500_0,SD1Q500,0.043239442121007506,0.3470261000000008,Q500,D1
SD1Q500_1,SD1Q500,0.05694537423632278,0.3391997999999994,Q500,D1
SD1Q500_2,SD1Q500,0.038967839742223155,0.3138557999999989,Q500,D1
SD1Q500_3,SD1Q500,0.05511861225227788,0.3679325999999996,Q500,D1
SD1Q500_4,SD1Q500,0.052723840995096104,0.34262009999999776,Q500,D1
SD1Q500_5,SD1Q500,0.06584120003138932,0.3372759000000016,Q500,D1
SD1Q500_6,SD1Q500,0.04266427513831084,0.3355261999999968,Q500,D1
SD1Q500_7,SD1Q500,0.04623438460897997,0.34306249999999494,Q500,D1
SD1Q500_8,SD1Q500,0.053813725822320385,0.3304530999999997,Q500,D1
SD1Q500_9,SD1Q500,0.04101078601293442,0.3594568000000038,Q500,D1
SD205Q1000_0,SD205Q1000,0.012573154400558917,0.6002630999999994,Q1000,D205
SD205Q1000_1,SD205Q1000,0.013719047225523074,0.5225897000000046,Q1000,D205
SD205Q1000_2,SD205Q1000,0.016088815159668122,0.7485467999999997,Q1000,D205
SD205Q1000_3,SD205Q1000,0.01613943089073039,0.7337429999999969,Q1000,D205
SD205Q1000_4,SD205Q1000,0.0154048064990403,0.7274184000000048,Q1000,D205
SD205Q1000_5,SD205Q1000,0.013481892169758473,0.7288151999999997,Q1000,D205
SD205Q1000_6,SD205Q1000,0.01617556460338839,0.7988259999999983,Q1000,D205
SD205Q1000_7,SD205Q1000,0.01440482912613147,0.7294377999999995,Q1000,D205
SD205Q1000_8,SD205Q1000,0.01465191346922326,0.7245806999999971,Q1000,D205
SD205Q1000_9,SD205Q1000,0.014903863483315512,0.6648356999999976,Q1000,D205
SD205Q100_0,SD205Q100,0.01798034223011957,0.7467660000000009,Q100,D205
SD205Q100_1,SD205Q100,0.017498326329368874,0.7568186000000026,Q100,D205
SD205Q100_2,SD205Q100,0.017457254368524116,0.7905832000000004,Q100,D205
SD205Q100_3,SD205Q100,0.0198551943216245,0.7576779999999985,Q100,D205
SD205Q100_4,SD205Q100,0.01703261682386406,0.7452626000000038,Q100,D205
SD205Q100_5,SD205Q100,0.016432056355713598,0.7390305999999995,Q100,D205
SD205Q100_6,SD205Q100,0.013045045750244132,0.7515687,Q100,D205
SD205Q100_7,SD205Q100,0.019842884427361755,0.720440399999994,Q100,D205
SD205Q100_8,SD205Q100,0.018120478564774722,0.7555442999999968,Q100,D205
SD205Q100_9,SD205Q100,0.017035773430391303,0.7509715999999997,Q100,D205
SD205Q10_0,SD205Q10,0.10126829968176117,0.6871253999999993,Q10,D205
SD205Q10_1,SD205Q10,0.09373572926354377,0.6977222000000012,Q10,D205
SD205Q10_2,SD205Q10,0.10671753022655313,0.6538386000000003,Q10,D205
SD205Q10_3,SD205Q10,0.10051453399733096,0.716687499999999,Q10,D205
SD205Q10_4,SD205Q10,0.10400614504772564,0.6675544000000002,Q10,D205
SD205Q10_5,SD205Q10,0.10430606591376258,0.6667541999999997,Q10,D205
SD205Q10_6,SD205Q10,0.09895841797414677,0.7172859999999943,Q10,D205
SD205Q10_7,SD205Q10,0.09918359505839736,0.7439526000000001,Q10,D205
SD205Q10_8,SD205Q10,0.09659727564868409,0.668598799999998,Q10,D205
SD205Q10_9,SD205Q10,0.10032171248744501,0.6868095000000025,Q10,D205
SD205Q1500_0,SD205Q1500,0.019386657065283176,0.8163246999999956,Q1500,D205
SD205Q1500_1,SD205Q1500,0.020561268016386663,0.9196443000000016,Q1500,D205
SD205Q1500_2,SD205Q1500,0.021117301490352985,0.8345113999999967,Q1500,D205
SD205Q1500_3,SD205Q1500,0.023068450405850347,0.7097846000000061,Q1500,D205
SD205Q1500_4,SD205Q1500,0.021192216282516024,0.7648451000000023,Q1500,D205
SD205Q1500_5,SD205Q1500,0.020201005010563253,0.8938580999999957,Q1500,D205
SD205Q1500_6,SD205Q1500,0.021307277164064203,0.7505655000000004,Q1500,D205
SD205Q1500_7,SD205Q1500,0.018250567998879235,0.7793135000000007,Q1500,D205
SD205Q1500_8,SD205Q1500,0.02001025841104375,0.7362030999999973,Q1500,D205
SD205Q1500_9,SD205Q1500,0.02107966712933299,0.7131428,Q1500,D205
SD205Q500_0,SD205Q500,0.01167773814070725,0.6998873000000003,Q500,D205
SD205Q500_1,SD205Q500,0.011928526582926813,0.7269655999999998,Q500,D205
SD205Q500_2,SD205Q500,0.01056055762611302,0.7556408999999888,Q500,D205
SD205Q500_3,SD205Q500,0.009093341327377108,0.7196196999999955,Q500,D205
SD205Q500_4,SD205Q500,0.014929428604653886,0.815173999999999,Q500,D205
SD205Q500_5,SD205Q500,0.009905979342993556,0.7501835000000057,Q500,D205
SD205Q500_6,SD205Q500,0.01450225951567166,0.8273133999999942,Q500,D205
SD205Q500_7,SD205Q500,0.012100834723250757,0.7442768999999885,Q500,D205
SD205Q500_8,SD205Q500,0.011600544556561844,0.7535113999999936,Q500,D205
SD205Q500_9,SD205Q500,0.013491888978538322,0.8298137999999966,Q500,D205
SD305Q1000_0,SD305Q1000,0.0990474291759689,10.080180399999989,Q1000,D305
SD305Q1000_1,SD305Q1000,0.0974513512397143,9.936913500000003,Q1000,D305
SD305Q1000_2,SD305Q1000,0.10469294769869474,11.784925799999996,Q1000,D305
SD305Q1000_3,SD305Q1000,0.10576158091166674,11.142739500000005,Q1000,D305
SD305Q1000_4,SD305Q1000,0.10433516725378074,10.174410300000005,Q1000,D305
SD305Q1000_5,SD305Q1000,0.10730697984594995,9.546905699999996,Q1000,D305
SD305Q1000_6,SD305Q1000,0.10581794462985658,9.158102799999995,Q1000,D305
SD305Q1000_7,SD305Q1000,0.09990737076353089,9.906647899999996,Q1000,D305
SD305Q1000_8,SD305Q1000,0.10938577882886108,9.234030399999995,Q1000,D305
SD305Q1000_9,SD305Q1000,0.10563378811643724,9.811644600000022,Q1000,D305
SD305Q100_0,SD305Q100,0.23484697265922905,9.724489900000009,Q100,D305
SD305Q100_1,SD305Q100,0.23547882720612429,9.887687,Q100,D305
SD305Q100_2,SD305Q100,0.23504838104788928,9.199633000000006,Q100,D305
SD305Q100_3,SD305Q100,0.23085554961378293,9.340340600000019,Q100,D305
SD305Q100_4,SD305Q100,0.23515367169322834,9.442423700000006,Q100,D305
SD305Q100_5,SD305Q100,0.233301933680255,9.734651000000014,Q100,D305
SD305Q100_6,SD305Q100,0.23345535247078175,9.369310400000018,Q100,D305
SD305Q100_7,SD305Q100,0.2331000852472483,9.311446099999984,Q100,D305
SD305Q100_8,SD305Q100,0.23128446535816502,9.078871400000025,Q100,D305
SD305Q100_9,SD305Q100,0.23637024280315785,9.231839100000002,Q100,D305
SD305Q10_0,SD305Q10,0.24972536384043958,5.2149738000000525,Q10,D305
SD305Q10_1,SD305Q10,0.2497294659438951,7.922278699999993,Q10,D305
SD305Q10_2,SD305Q10,0.2498631342693201,8.797628099999997,Q10,D305
SD305Q10_3,SD305Q10,0.24989059085693657,6.647784999999999,Q10,D305
SD305Q10_4,SD305Q10,0.2499077171747202,6.2474227000000155,Q10,D305
SD305Q10_5,SD305Q10,0.2498792157796873,7.749715100000003,Q10,D305
SD305Q10_6,SD305Q10,0.24984632260475073,5.828667300000006,Q10,D305
SD305Q10_7,SD305Q10,0.24986003640400217,5.120666800000038,Q10,D305
SD305Q10_8,SD305Q10,0.24980461905458695,5.0606123000000025,Q10,D305
SD305Q10_9,SD305Q10,0.24980325367682216,5.3972062999999935,Q10,D305
SD305Q1500_0,SD305Q1500,0.10355662901314056,10.733998100000008,Q1500,D305
SD305Q1500_1,SD305Q1500,0.09704900992370546,9.812783000000024,Q1500,D305
SD305Q1500_2,SD305Q1500,0.10276547098677814,9.661759999999958,Q1500,D305
SD305Q1500_3,SD305Q1500,0.10122670831054993,9.593588099999977,Q1500,D305
SD305Q1500_4,SD305Q1500,0.11068632313128167,9.836422400000004,Q1500,D305
SD305Q1500_5,SD305Q1500,0.10416312887903972,10.308225800000002,Q1500,D305
SD305Q1500_6,SD305Q1500,0.10837051105686224,9.941208000000017,Q1500,D305
SD305Q1500_7,SD305Q1500,0.11010514035332807,10.347508799999957,Q1500,D305
SD305Q1500_8,SD305Q1500,0.10241479146787522,9.94218330000001,Q1500,D305
SD305Q1500_9,SD305Q1500,0.10329641875680429,68.27688549999999,Q1500,D305
SD305Q500_0,SD305Q500,0.20542364686366754,20.133691400000032,Q500,D305
SD305Q500_1,SD305Q500,0.20192423932178022,16.776343100000076,Q500,D305
SD305Q500_2,SD305Q500,0.20751529853850018,16.761087499999917,Q500,D305
SD305Q500_3,SD305Q500,0.20193852002566412,18.016700300000025,Q500,D305
SD305Q500_4,SD305Q500,0.20435375200599937,17.71375569999998,Q500,D305
SD305Q500_5,SD305Q500,0.20751561341654187,15.773222600000054,Q500,D305
SD305Q500_6,SD305Q500,0.2043450384664769,14.899282500000027,Q500,D305
SD305Q500_7,SD305Q500,0.2018939921101974,15.269814499999939,Q500,D305
SD305Q500_8,SD305Q500,0.20703508817314079,15.50628949999998,Q500,D305
SD305Q500_9,SD305Q500,0.20562118574134375,16.130856900000026,Q500,D305
SD405Q1000_0,SD405Q1000,0.027349080614540625,2.45960690000004,Q1000,D405
SD405Q1000_1,SD405Q1000,0.025501675749596817,2.529878999999937,Q1000,D405
SD405Q1000_2,SD405Q1000,0.026599606958454407,2.5429990999999745,Q1000,D405
SD405Q1000_3,SD405Q1000,0.027182808411141197,2.4757774999999356,Q1000,D405
SD405Q1000_4,SD405Q1000,0.028488469819102476,2.433430000000044,Q1000,D405
SD405Q1000_5,SD405Q1000,0.02840156490070304,2.5969599999999673,Q1000,D405
SD405Q1000_6,SD405Q1000,0.02801159916819053,2.7812790000000405,Q1000,D405
SD405Q1000_7,SD405Q1000,0.0287487990379586,4.39586989999998,Q1000,D405
SD405Q1000_8,SD405Q1000,0.02904321220637049,3.3595530000000053,Q1000,D405
SD405Q1000_9,SD405Q1000,0.029534636544357798,3.433080999999902,Q1000,D405
SD405Q100_0,SD405Q100,0.028970922625894815,3.5133415999999897,Q100,D405
SD405Q100_1,SD405Q100,0.027526316662724457,3.989718700000026,Q100,D405
SD405Q100_2,SD405Q100,0.029484224302229786,3.1143544999999904,Q100,D405
SD405Q100_3,SD405Q100,0.03173651931225256,2.94588490000001,Q100,D405
SD405Q100_4,SD405Q100,0.03139878187908025,2.844909400000006,Q100,D405
SD405Q100_5,SD405Q100,0.03598221271163594,2.994073599999979,Q100,D405
SD405Q100_6,SD405Q100,0.02340985611088132,3.00430080000001,Q100,D405
SD405Q100_7,SD405Q100,0.02809074251895913,2.94722790000003,Q100,D405
SD405Q100_8,SD405Q100,0.027229712335534874,3.0256202000000485,Q100,D405
SD405Q100_9,SD405Q100,0.03200590103947579,2.900603399999909,Q100,D405
SD405Q10_0,SD405Q10,0.21743166386696366,2.129850499999975,Q10,D405
SD405Q10_1,SD405Q10,0.21882343049901104,2.010678999999982,Q10,D405
SD405Q10_2,SD405Q10,0.21987247184406775,2.0712837999999465,Q10,D405
SD405Q10_3,SD405Q10,0.2250021769024746,2.1460312000000386,Q10,D405
SD405Q10_4,SD405Q10,0.21761804196034118,2.2171581999999717,Q10,D405
SD405Q10_5,SD405Q10,0.21875980009488866,2.1458765999999514,Q10,D405
SD405Q10_6,SD405Q10,0.22002158165204497,2.143656799999917,Q10,D405
SD405Q10_7,SD405Q10,0.2228038089143311,2.128273600000057,Q10,D405
SD405Q10_8,SD405Q10,0.21841404658762237,2.1063838000000032,Q10,D405
SD405Q10_9,SD405Q10,0.2232180764864084,1.9835493999999017,Q10,D405
SD405Q1500_0,SD405Q1500,0.020721692629889113,2.9691631999999117,Q1500,D405
SD405Q1500_1,SD405Q1500,0.025315291133269857,2.9471416999999747,Q1500,D405
SD405Q1500_2,SD405Q1500,0.027774619524231107,3.0642448999999488,Q1500,D405
SD405Q1500_3,SD405Q1500,0.02866177181118972,2.9680872000000136,Q1500,D405
SD405Q1500_4,SD405Q1500,0.023450524885650706,3.00382639999998,Q1500,D405
SD405Q1500_5,SD405Q1500,0.02552436047395311,3.0227659000000813,Q1500,D405
SD405Q1500_6,SD405Q1500,0.025789131390239587,3.057626099999993,Q1500,D405
SD405Q1500_7,SD405Q1500,0.025916232480223685,2.921124299999974,Q1500,D405
SD405Q1500_8,SD405Q1500,0.025334929641424177,3.0007534999999734,Q1500,D405
SD405Q1500_9,SD405Q1500,0.02302058704937036,2.969806800000015,Q1500,D405
SD405Q500_0,SD405Q500,0.025468881604794064,3.0168026000000054,Q500,D405
SD405Q500_1,SD405Q500,0.023643089716035674,3.214106300000026,Q500,D405
SD405Q500_2,SD405Q500,0.03013904064374959,3.041470199999935,Q500,D405
SD405Q500_3,SD405Q500,0.029724122879895832,3.3112866999999824,Q500,D405
SD405Q500_4,SD405Q500,0.026956593468963,4.194275100000027,Q500,D405
SD405Q500_5,SD405Q500,0.026201190376956996,5.807396400000016,Q500,D405
SD405Q500_6,SD405Q500,0.026139350974933643,7.108050400000025,Q500,D405
SD405Q500_7,SD405Q500,0.034282084529787295,7.134745799999905,Q500,D405
SD405Q500_8,SD405Q500,0.02371533767375919,6.945779400000106,Q500,D405
SD405Q500_9,SD405Q500,0.029472003915863743,6.234300100000041,Q500,D405
